gemeenteId;provincieId;taalCodeProvincieNaam;provincieNaam
220;4;fr;Flandre Occidentale
221;4;nl;West-Vlaanderen
221;4;fr;Flandre Occidentale
222;4;nl;West-Vlaanderen
222;4;fr;Flandre Occidentale
223;4;nl;West-Vlaanderen
223;4;fr;Flandre Occidentale
224;4;nl;West-Vlaanderen
224;4;fr;Flandre Occidentale
225;4;nl;West-Vlaanderen
225;4;fr;Flandre Occidentale
226;4;nl;West-Vlaanderen
226;4;fr;Flandre Occidentale
227;4;nl;West-Vlaanderen
227;4;fr;Flandre Occidentale
228;4;nl;West-Vlaanderen
228;4;fr;Flandre Occidentale
229;4;nl;West-Vlaanderen
229;4;fr;Flandre Occidentale
230;4;nl;West-Vlaanderen
230;4;fr;Flandre Occidentale
231;4;nl;West-Vlaanderen
231;4;fr;Flandre Occidentale
232;4;nl;West-Vlaanderen
232;4;fr;Flandre Occidentale
233;4;nl;West-Vlaanderen
233;4;fr;Flandre Occidentale
234;4;nl;West-Vlaanderen
234;4;fr;Flandre Occidentale
235;4;nl;West-Vlaanderen
235;4;fr;Flandre Occidentale
236;4;nl;West-Vlaanderen
236;4;fr;Flandre Occidentale
237;4;nl;West-Vlaanderen
237;4;fr;Flandre Occidentale
238;4;nl;West-Vlaanderen
238;4;fr;Flandre Occidentale
239;4;nl;West-Vlaanderen
239;4;fr;Flandre Occidentale
240;4;nl;West-Vlaanderen
240;4;fr;Flandre Occidentale
241;4;nl;West-Vlaanderen
241;4;fr;Flandre Occidentale
242;4;nl;West-Vlaanderen
242;4;fr;Flandre Occidentale
243;4;nl;West-Vlaanderen
243;4;fr;Flandre Occidentale
244;4;nl;West-Vlaanderen
244;4;fr;Flandre Occidentale
245;4;nl;West-Vlaanderen
245;4;fr;Flandre Occidentale
246;5;nl;Oost-Vlaanderen
246;5;fr;Flandre Orientale
247;5;nl;Oost-Vlaanderen
247;5;fr;Flandre Orientale
248;5;nl;Oost-Vlaanderen
248;5;fr;Flandre Orientale
249;5;nl;Oost-Vlaanderen
249;5;fr;Flandre Orientale
250;5;nl;Oost-Vlaanderen
250;5;fr;Flandre Orientale
251;5;nl;Oost-Vlaanderen
251;5;fr;Flandre Orientale
252;5;nl;Oost-Vlaanderen
252;5;fr;Flandre Orientale
253;5;nl;Oost-Vlaanderen
253;5;fr;Flandre Orientale
254;5;nl;Oost-Vlaanderen
254;5;fr;Flandre Orientale
255;5;nl;Oost-Vlaanderen
255;5;fr;Flandre Orientale
256;5;nl;Oost-Vlaanderen
256;5;fr;Flandre Orientale
257;5;nl;Oost-Vlaanderen
257;5;fr;Flandre Orientale
258;5;nl;Oost-Vlaanderen
258;5;fr;Flandre Orientale
259;5;nl;Oost-Vlaanderen
259;5;fr;Flandre Orientale
260;5;nl;Oost-Vlaanderen
260;5;fr;Flandre Orientale
261;5;nl;Oost-Vlaanderen
261;5;fr;Flandre Orientale
262;5;nl;Oost-Vlaanderen
262;5;fr;Flandre Orientale
